DATE,FPCPITOTLZGFRA
1960-01-01,4.13993575518437
1961-01-01,2.40046104546321
1962-01-01,5.33128007065639
1963-01-01,4.99915289796841
1964-01-01,3.21119170293105
1965-01-01,2.70310455873084
1966-01-01,2.60200076636444
1967-01-01,2.7917770943515
1968-01-01,4.54320486402014
1969-01-01,6.04596284173893
1970-01-01,5.29964124562675
1971-01-01,5.39751865595105
1972-01-01,6.06300309718187
1973-01-01,7.38060106398912
1974-01-01,13.6493174728139
1975-01-01,11.6859272493228
1976-01-01,9.62549578155529
1977-01-01,9.49455467190434
1978-01-01,9.2505584672443
1979-01-01,10.6467341716664
1980-01-01,13.5625788483016
1981-01-01,13.3144055680071
1982-01-01,11.9784719523806
1983-01-01,9.45954847235318
1984-01-01,7.67380262247321
1985-01-01,5.83109973854516
1986-01-01,2.53852591781417
1987-01-01,3.28889821400133
1988-01-01,2.70081527508113
1989-01-01,3.49830220700749
1990-01-01,3.19428338029475
1991-01-01,3.21340732409687
1992-01-01,2.36376046269353
1993-01-01,2.10446277124644
1994-01-01,1.65551532926993
1995-01-01,1.79648142095595
1996-01-01,1.98288365089738
1997-01-01,1.20394294026962
1998-01-01,0.651126867833049
1999-01-01,0.537141639134645
2000-01-01,1.67595988720927
2001-01-01,1.63478079549602
2002-01-01,1.92341228727061
2003-01-01,2.09847219146923
2004-01-01,2.14208964640241
2005-01-01,1.74586936380482
2006-01-01,1.67512449608723
2007-01-01,1.4879980595386
2008-01-01,2.81286194914787
2009-01-01,0.0876204781574552
2010-01-01,1.53112270420926
2011-01-01,2.11159795174994
2012-01-01,1.9541953161351
2013-01-01,0.863715497861805
2014-01-01,0.50775882293799
2015-01-01,0.0375143805125182
2016-01-01,0.18333486112386
2017-01-01,1.03228275064662
2018-01-01,1.85081508315503
2019-01-01,1.10825492288294
2020-01-01,0.476498852725066
2021-01-01,1.64233141038385
2022-01-01,5.22236748369735
